epoch,train_loss,validation_loss,train_coordinate,validation_coordinate,train_dimension,validation_dimension,train_object_confidence,validation_object_confidence,train_noobject_confidence,validation_noobject_confidence,train_class_confidence,validation_class_confidence
1,3.7841721256095244,3.442293780190604,4.789608793086316,4.4873872484479636,2.4693345301840677,2.0663357632500783,11.96401946515922,11.508378925777617,7.4177732345569565,3.7724610907690868,8.494746557201248,8.438979841413952
2,2.983495264168245,2.2086469729741416,3.6949969479836615,2.5313914744626906,1.496143836752478,0.6207793965226128,11.24890439194369,10.327116534823464,4.9549634499722215,4.1853799138750345,7.998255221240492,6.7746318862551735
3,2.315415328525635,2.1121572312854586,2.618338377360838,2.3618937744980766,0.7535736223301256,0.5232045714344297,10.467741512390504,10.06345764795939,5.304004169372191,4.3484157380603605,7.016477797404829,6.732649144672212
4,2.148282097046634,2.0957497840835932,2.343741960554238,2.3351595061165944,0.5971920700317406,0.5020146249305635,10.34574501772961,9.92382930573963,5.110396550362369,4.5916991120293025,6.721957320190338,6.720891362144833
5,2.1235980290964425,2.0827191131455556,2.299023518361241,2.311502226761409,0.5788783009152815,0.49797814232962473,10.260885882090372,10.141056412742252,5.0961734860776415,4.1195939381917315,6.726204284702439,6.666447724614825
6,2.1149102528411223,2.093822564397539,2.301710204905774,2.35798023995899,0.5639769585735827,0.49805782380558195,10.213300908904477,10.13251375016712,5.1516033066324445,4.129332309677487,6.672820112791406,6.632361321222215
7,2.104617216500891,2.074954716932206,2.286691328847265,2.308756704841341,0.562183221959206,0.49180900695778074,10.179944115948965,9.68354574839274,5.1219019114253035,4.934707550775437,6.645339230456984,6.65142343725477
8,2.079951627426837,2.0491183740752086,2.2503207189490997,2.2777756339027766,0.55284121111933,0.47851467274484183,10.048631202743714,9.310410896937052,5.135192736085639,5.340737967264085,6.589976227427104,6.650568576086135
9,2.0384828714003045,1.9730760597047352,2.23986822151276,2.233833071731386,0.5247946196650884,0.44385694641442525,9.528952759432505,8.836374566668557,5.475150450166449,5.143330999783108,6.467337069741214,6.423154303005764
10,1.9554693777877163,1.89409605662028,2.1318118148539438,2.129529513063885,0.49404459653130495,0.414093659392425,8.88769643278007,8.12839480808803,5.756504765476089,5.6107253063292735,6.3474126034472365,6.270039240519206
